Business ID, Review Count, # of check-ins, Tip count, Business Weight, Avg Influencer Weight,Avg Stars, True Stars 
n7G2XFGvmS3duDJ4AzjKiQ,19,50,18,25,26.3888888889,2.6666666667,2.5
8tBfgYCI6Fz9xrSYCYCYXA,11,5,1,0,26.0909090909,3.0909090909,3
qemCNgjeYGcFsRwxW9x4xw,55,107,12,875,137.7,3.7,3.5
iudRNo5Q8W7firUBYJEqQQ,7,5,0,50,380,2.4,2.5
JL5B_s1EoN4zIru4JSw4Qg,4,40,5,0,132.75,3.5,3.5
DzOPHyrG2XuVqKEvHCnN7w,25,28,5,125,109.7,4.5,4.5
nqRNOug4OMrYTTZg-qLxXA,5,0,3,0,6.4,4.2,4
1vQLTKwmcmZXtNzfKEvMmA,33,59,8,325,54.5,3.05,3.5
hhNlQWaKqGbMPoeZHoL-IQ,65,303,31,1125,137.4,3.8,3.5
SgQYRICpMdWCmY7wM2Cmcw,21,54,4,125,13.25,2.5625,2.5
uwiD9jxs09xxXG0by_xKuA,5,46,0,0,208.6,3,3
sNmQJQWEVGheCnw5Tf4Phg,11,74,8,25,136.3,4.1,4
KZXtzoI84iI1CEcAnD7OPA,34,80,4,350,82.85,3.3,3.5
zpNGtjBlIkDq_PLGSCPlAg,19,109,10,25,41.0555555556,3.2777777778,3.5
z4cCguoHdU48pj6sXMIzqg,74,125,7,1350,156.35,3.15,2.5
sbTF0cLKZH6_BP8BLARVDg,29,65,9,225,117.9,2.9,2.5
imzKM9-mgN1Yk_RIXx3IgA,16,31,1,75,88.2307692308,3.4615384615,3.5
JcP-IIrZkW_Yyv4a0yLRCw,9,11,2,50,40.2857142857,2.8571428571,3
NeUf9FyCCIN4MEseNyqkXQ,340,601,21,8000,443.65,3.65,3.5
wHi8ODv7TGmeUB02XoX-mA,125,307,30,2625,359.55,2.95,2.5
buVALudg30kgkDusqB3yJw,76,163,23,1400,248,4.3,4.5
WXpi9z1bqF9raZSW8z70Ow,31,55,13,275,80.7,3.5,3.5
DhDNNHZtaBxYNSqJz64ixg,15,16,2,25,22.9285714286,4.2142857143,4.5
PxP19Rb88OQKiSMl2oWNsg,42,43,3,550,70.05,2.9,3
9mwShpTgZofOujt4JfyGmw,74,162,10,1350,75,2.75,2.5
90Fqfzd8zD9AuuNBSv9lAg,47,67,2,675,242.5,3.9,4
KEzIorUdFjqCuxbRxKPghA,6,20,1,0,51.1666666667,3.8333333333,4
pvGT62T6Ci1LKOS9DL42pg,19,25,1,0,94.3157894737,4.0526315789,4
OT3yVpDrDVITDCIYox8d9A,4,8,1,0,18.5,3.5,3.5
8AskFIgGxqNb8RbcDCAfmA,7,16,4,25,35.1666666667,4,4
L5387MoRyx9orlRyYfCSPA,40,55,13,500,118.5,4.1,4
dHDi4wCcjsOR6vcZ8oOIoA,81,96,12,1525,198.2,3.05,3
41CXLCeB8z2oNdIOvnrzIA,37,73,11,425,80.4,2.6,2.5
l2gPB9mqiHSbpwSUa7zrjg,16,7,2,50,10.7142857143,1.8571428571,2
l-OmDgEd4QkZpyXVpkp2yA,16,37,3,25,73.9333333333,3,3
0FgwBx7pgmNdUtsd_T8UYQ,49,73,5,725,218.25,3.95,4
SzHTdZR3yY1WBYUxkVxmUQ,19,25,0,25,25.5,3.2777777778,3
_aGVicux2dJm9sqzLSCJtg,3,13,0,0,174.3333333333,3.3333333333,3.5
-TSFapUMwdyyxoi2egkOhw,7,7,0,25,44.1666666667,2.6666666667,2.5
AH1PrZQDIdjpKgy1z8XxUg,15,37,4,25,138.4285714286,3.7142857143,3.5
XmdTkxKyJd7TuDLoiic1kg,222,198,18,5050,274.8,3.8,3.5
nBl_NeArpL08MpoghDiA_A,51,58,6,775,120.45,4,4
-KQ283hJkBO12u8XOrlCcQ,67,123,19,1175,133.45,3.15,3
SvoJ3Y3uqDfB4iGUaWXh8Q,31,50,4,275,93.4,3.3,3
6xEl2PDJulIp1PfWqa7-aA,23,172,5,75,58.55,3.4,3.5
GQloL8yRHymE0SGZq-B0zQ,11,0,2,50,14.2222222222,3.1111111111,3
aj4XHn7jZ48euP4g8ape-Q,5,11,1,25,21,3.25,3.5
Lm_mR5xDF91OeZw97ch41g,28,15,5,200,89.25,2.15,2.5
PTS4MxQel-xzj5qWxVn3LQ,28,22,5,200,76.9,3.55,3.5
IvgKdlte_JNdd17XRxkOrg,14,15,1,75,16.9090909091,3.6363636364,4
PhIGoo9g6GBrqgH_6yZXXQ,41,56,2,525,34.75,3.85,4
bDK_jzy3Shx7jfn8_plNoA,17,17,4,75,57.5,4.2142857143,4
uBW3PIKqc-_eyG1_vdJn1w,50,91,5,750,47.4,3.5,4
FD6OocZdFUfE2J5H0WN4fA,14,22,3,0,23.5,3.3571428571,3.5
LN3OCT1xOedbf65xKzFSNw,63,72,15,1075,50,4.2,4
nUISXnW2Jo9ovnoFBIUY_Q,9,9,4,50,51.7142857143,2.7142857143,2.5
dxCqGkhtXq-9fYEsX7Mf6Q,177,190,27,3925,266.4,4,4
YTqSkgOiiI9HG3hNH7ovfg,15,32,2,100,92.5454545455,3.2727272727,3.5
vgXE1I7c9ElcfYyZfQiN1Q,219,228,34,4975,360.05,3.8,4
-Nanlb7SYXObqQ6dZ49UOg,40,110,16,500,66.95,3.1,3
o_wRqOpli9kyZGXlJtLLdA,33,49,3,325,32.7,3.95,4
5MChfa-jZfMo3vBpolkSbw,53,49,7,825,87.9,3.35,3.5
sxeuOMBRllOHXJTaUlI9kQ,142,149,16,3050,311.95,3.7,4
r8jeeS3k_diihMDSu9IjlA,108,159,18,2200,258.75,3.65,4
dQjaHoo89bLymdMm4S5_1g,15,18,2,100,15.5454545455,4.6363636364,4
UjJMQguryo1jypomvOCZgg,8,4,1,50,319.8333333333,2.8333333333,3.5
aIzx9R8MN9VgSSJt1jy5TA,6,0,0,25,207.6,4.6,4.5
cESul2ojJOjadz-7BKB5eg,26,30,3,150,18.5,3.95,4
6-rJjW6ITl5o_FliiNgZRA,139,198,22,2975,238.4,4.4,4
mPlWLIA4pkHMRtlQDm6UyQ,88,169,16,1700,160.6,3.85,4
sa3xqElJEv97MazozLeszw,24,34,9,100,70.1,4,4
MkrQV_nyxyC1F5ut5KxDMQ,9,62,0,25,54.875,3.625,3.5
Cy9XgM3ZG2jZ1ganvolb6Q,74,125,8,1350,177.55,4.35,4
sQWSHCIH_HUT4HUXaxDaBA,11,88,5,25,130.1,3.2,3
Oq5MyNxNi-xuXdPOWR9O_g,21,18,3,75,32.3888888889,3,3
xgK6AAhJ-cYBUCSaLzgTuw,136,159,14,2900,269.9,3.45,3.5
Z-BI5HJmC2HcpiVuXwVM3A,53,41,3,825,100.75,3.75,4
kxZIebwbpe_ddry6EKMdCg,16,0,0,100,15.1666666667,4.1666666667,4
q5g_zeAdwsZQp0p9GPnTJw,5,3,0,75,10.5,5,4.5
MFtTSa1OTC0rFxBxpXzKfg,5,0,0,25,14.25,3.25,3.5
jVVyiaDle64frINmX2hgqw,3,0,1,50,38,2,2.5
Ln34kwDUNZPLhVhUqauLWQ,12,9,0,75,12.7777777778,2.6666666667,3
hxWwXE1mqNuSghYBr5bLWg,8,13,1,25,131.5714285714,4,4
-tcf1WSfc2iNRf75AMW6pw,12,20,1,25,150.3636363636,3.8181818182,4
dwz55gqPZwSBD74yFFb27g,30,58,4,250,19.95,3.25,3.5
rEpubmz577MOhpDmWPH1uw,14,12,1,50,9.9166666667,3.4166666667,3.5
HPcrrz8uipPQyK-5zd6w9Q,4,10,3,0,24,2.75,3
c-Pa13Lq1eB0VwLVoyJ7lg,8,12,2,0,16.25,2.625,2.5
vtJAnB4gBgTJKv3mOnOF_w,4,10,0,0,141.75,3.75,4
qYuSoVBS_1i_btLzFefDeg,14,17,2,0,18.7142857143,3.9285714286,4
2kCgC1VAEs3K8SJ86S6Fog,5,0,0,25,13.75,3.5,3
2VuPoaFPktvtAqTX_Fzc-A,8,28,1,25,7.4285714286,3.8571428571,4
7F9e41xxk8Ipjmoou8C20A,4,10,1,0,7.75,3.25,3.5
friprEn-aT_WmhmIF3pGmg,6,58,3,0,175.5,4.3333333333,4.5
BO0zz8gort7o-6KuecIv3Q,23,101,4,75,29,2.5,2.5
SVKC_-gIQFkHElZ6bFsE6g,51,146,21,775,74.9,2.75,3
l2ynPEBj9S_yN9gjg32tBA,6,28,3,25,53.6,3,3
AUDuCSWYzzRP3H2w7TxtuQ,33,137,8,325,18.5,3,3.5
Bvj-UP9khEzuwDIW7eJNOg,4,0,1,0,19,2.25,2.5
Gw5POFxBRoJxN_ZYhk6lgQ,9,39,5,0,46.5555555556,3.7777777778,4
DE_11y6_vCmPBlbeYskh-Q,7,45,4,0,67.8571428571,2.8571428571,3
4WsTFTH8GgnyFHwrH9nHzA,39,148,12,475,126.5,3.1,2.5
MMgjU4K0D9RLsb7BWEic4g,4,0,0,25,22,4.6666666667,4.5
bpyWgtzGf-PiRsIUso8KKw,3,0,0,0,6,3.6666666667,3.5
USdRzNk14UdjZWFgBJb0wA,25,14,1,125,305.95,4.3,4.5
ASwN3Ih0Eh1oH0npLbzVjA,11,114,11,50,44.2222222222,4.2222222222,4
gpCtDCSXIoQx70cq9itfNA,47,85,9,675,246.6,3.8,4
Lt9o2RmacVY2L-IWLA8uTg,58,106,7,950,132.6,3.85,4
WuCcv_Dyd_1B_1-4jwK7sQ,159,552,35,3475,168.75,3.35,3.5
4glD2-evDFddHjQaEVpCPQ,13,38,2,25,22.1666666667,3.9166666667,3.5
U_RvpPJNn24oWJo07x2j7w,6,0,0,50,14,3,3
QMX1ssofSveU3qhVAKLnXA,9,17,1,0,37,3.4444444444,3.5
XzhsJecsCYj-Wc32zOWqmg,13,8,1,25,41.1666666667,3.6666666667,3.5
9fxTX1uyyYF4ugx68AG2sg,30,41,5,250,100.85,2.9,3
9XKIFRBT-UTglX3wBGPAAA,7,10,2,25,43.1666666667,4.1666666667,4
Heon0PS3J4RGmMa-VflCuA,22,117,3,75,51,3.7894736842,4
-Am2JVkb7nwvBAUwSugG0A,14,0,1,50,44.6666666667,3.5833333333,3.5
mpDxBBGywUE6GRRKja3sBA,446,712,63,10650,501.65,3.9,4
6ICGve6UyGPuLaGrKQBVuw,11,28,0,25,46.6,4.2,4
NTfUFk8GyOLL1uPbEO-pVg,214,361,36,4850,273.15,4.05,4
e8kqqWU9247Nn5VAF5sDkQ,33,73,2,325,114.25,2.8,2.5
z24h6ZYnZiWjlDTuLXG9jw,110,91,9,2250,138.65,4.05,4.5
kAid56AY_laxGYslMdsYJw,76,292,22,1400,337.95,3.6,3.5
CChwRoYVXA3QZulS8a6xOQ,167,304,24,3675,305.85,4.3,4.5
C9CF7p53Y0L5ErKRhhFhng,39,45,3,475,184.4,3.7,4
OOPBFViU0cl_GryJOEEUcg,7,0,0,0,33.8571428571,3.5714285714,3.5
LUylwiKNsS7_iumytRgAmw,18,188,5,50,55.875,2.9375,3
TLrX4FECQDFz-E45TI_9ow,44,52,5,600,97.75,3.25,3.5
e5J3s-xxs1S6PPHJhldBEA,53,122,9,825,210.25,3.3,3
DjnNu1sWHEJpNBnW7CSdzA,3,16,2,0,77,2.3333333333,2.5
e2K0YQel5Fth0_vur2dN8w,9,0,0,50,21.5714285714,2,2
4-B5ou1FbGVjVEQd3FAoIA,17,27,6,25,11.6875,4.5,4.5
Ak6ThDexfSFwoajgOpio8g,8,0,0,0,24.25,3.875,4
PowgfhnMrRKscqecHZdLzQ,10,5,2,25,14.3333333333,3.6666666667,4
v96eOvQGYHukDu_UWqNl4A,11,18,8,50,35.8888888889,3.8888888889,4
-dOhouYkZyKQnV45tJ7tKQ,4,0,0,25,190,3,2.5
b856Q36EWKbwbm_XdJER8Q,15,17,1,25,45.5,2.7142857143,3
eaqJQP6bp7rQJQt5KqfvxQ,128,146,15,2700,240.65,3.55,3.5
hBscDTusN57Ai0SnkQK8Sg,67,173,10,1175,101.3,3.55,3.5
MQnNtW1lHS-eid3QNUoUIw,170,310,17,3750,198.65,3.65,4
n2MTry6EWZKwDxxm9-povQ,13,33,3,0,43,4.0769230769,4
nuCgH96Tfe6CFXznvmKdhA,62,143,18,1050,53.55,3.1,3
MMNBgMQCdwyVoNaHg0h_QA,119,497,28,2475,210.35,3.8,4
c9D0yUos-jGOZaUv7SgCFw,12,26,4,25,13.8181818182,3,3
l3mzaesyc90rxXt2d4HpTg,10,22,0,25,22.3333333333,2.7777777778,2.5
8PsQqhrAH5uqJ7HODOmXYg,15,70,4,0,100.5333333333,3.3333333333,3.5
TwwD5FQSe0vk1Ecp89HjEw,83,105,6,1575,208.9,4.6,4.5
YbqNbrnOEk2T0qIBbTivuQ,48,50,11,700,47.45,4.1,4
OigTHfCur-D8Ne-bV1ngOg,11,3,1,25,50.9,3.4,3.5
MCFxbw9hQYejyvg59T44TA,44,60,11,600,89.3,2.8,2.5
xopQn_MCE8bSBOyhsj6pVw,3,8,2,0,12,2.3333333333,2.5
diPvh48CJsNW0hsf9981ZA,9,24,2,50,65.1428571429,3.4285714286,3
DNr2McGXQLleQkJ0zaCBHQ,3,12,0,0,89,3,3
WkD7OrSIHLzgOQo9wQHu-A,43,158,15,575,153.45,4.1,4
CxGK5_GoIhG9798zYPsvfA,36,139,5,400,72.7,3.9,3.5
IKUVWL75eSoC71G2fBphmA,35,89,10,375,36.3,3.6,4
Y_OeiGhTm6ZEfZ1UQgM_wA,88,287,18,1700,106.2,3.85,4
1gKBusJMk66ypwEKF0vOAA,69,114,11,1225,180.1,4,3.5
BOp3jcpYy31M85H1DLnEEw,115,276,30,2375,231.3,3.9,3.5
AvVRPaKoiYl1lrP8Voi0Fw,5,9,0,0,78.8,3,3
UFvogJEUiLSJwyx2LSz2uQ,7,19,3,0,52.5714285714,3.1428571429,3
AL259yRTSk5jQp6C4tjSiA,15,15,0,75,46.5,4.3333333333,4.5
3IDt1SaDYwo6QKKV7gsuyQ,3,6,0,0,81.3333333333,1.6666666667,1.5
p_HFt0I92MHDNPWvdtyEBA,84,149,17,1600,130.05,4.15,4
z4KtKRuuwU6eJAI68ChE-w,5,3,0,25,27.25,3.25,3.5
2iiCazdKZjFYy46FR8iySA,7,59,6,25,34,4,4.5
va9aHf7SEIfKLnvOmeavIw,8,21,2,50,17,3.1666666667,3
jr8D3lu1S0-eRpIVxkKnMA,9,0,0,75,10.8333333333,1.5,1.5
t719u5GZY0yPX4U7t5whrg,6,80,4,0,25.5,3.6666666667,3.5
c2RzHxH4DQcH4A-a5FpidQ,6,25,4,0,22.5,3.1666666667,3
6-jlUgqp0Mv3PUzMGjrb0A,6,0,0,0,10.8333333333,3.5,3.5
3IQSDaqbnqACADJWlXpRkA,11,67,4,25,78.7,4.5,4.5
P0aKJw8rb0DKLaGottHEAw,32,114,7,300,102.95,3,3
4zr5_OOjwTdOEE7d_181RA,58,161,16,950,129.9,4,3.5
DReLu6HuFOm4p-jYZpgQkw,68,236,18,1200,163.9,3.75,3.5
i-cEO98lTS10WH30FyKvGA,8,78,7,25,29.2857142857,2,2.5
xLZilmaLXY0r-dBFaiLxww,35,100,8,375,44.65,3.65,3.5
f9WqdqHuZtwg41HDLSKaPA,34,77,6,350,174.2,3.75,3.5
jm2VltGSjXCX6Da27Y-Ndw,16,7,2,50,189.7142857143,3.8571428571,4
2kz1P9SlJNAndRkXk4bCDA,20,98,14,0,37.9,3.6,3.5
NHIWIA3g7oLZ5gW1tpjf8w,24,157,9,100,79.05,3.45,3
rg1-6A-8SKXGh_p-Abbyxg,57,144,14,925,162.9,3.35,3
ULvDCr7r9sMU1iSwgTHXsA,8,0,1,0,125.125,3.5,3.5
GNKcvMI0RyVQyEA4jNQXjQ,43,56,6,575,202.05,3.8,3.5
SgjcjIxsAlVkcrtLaLxtTg,10,101,0,25,17.6666666667,3.8888888889,4
hlME5-P2CudNDCUSIX2cxQ,19,114,12,50,90.5882352941,3.5294117647,3.5
M8CC5_9vEvt1yOI2pnkvKA,12,23,2,50,141.9,3.8,4
qC21Nl_OUfTr_xf8ZjzOcg,19,101,12,50,109.7647058824,4.0588235294,4
zOY-W35waCcBWDmjX7_MFQ,10,60,8,25,43,3.8888888889,4
qZ1bDtcercwUw4w7trpVjQ,30,118,16,250,33.85,2.05,2.5
98hOHm56D0Boz2LCg0-irg,12,43,4,25,17.6363636364,2.1818181818,2
P9aM91bY6XHOY9ZfaLUYqQ,8,49,3,25,46,3.2857142857,3.5
tuR6sBN9IwyLEg6KiuEXTQ,12,31,4,50,126.6,3.1,3
1PSnPPFVfp03iPfJRPWWQw,56,163,14,900,136.5,4.05,4
3xdV-7di_YD3MVqs3Pa7-g,47,157,36,675,76.7,3.95,4
hvhogN-3cMny0Nrqbsjpkg,45,91,6,625,62.95,2.65,2.5
7rsMIEq01gE12F7iRdzLEA,15,86,3,50,26.3846153846,3,3.5
-f5xy4PY0DV-9FyIM6-M6A,5,0,0,0,63,2.6,2.5
UvuUOiP0oIgJ2H_8J6h6Zg,7,17,0,0,28.7142857143,2.1428571429,2
i3HfmM-evIOLpJ2wuTZVKA,19,90,13,25,33.8333333333,4,4
xH9zGlw85wE3q5YJ5D230Q,3,7,0,0,47.6666666667,2,2
ZXl9KGsv-VEoDKCC_08j4A,9,22,1,25,28.625,2.875,3
UzbI1Da7X23bDLwPluj5Qg,10,8,4,25,30.2222222222,3.3333333333,3.5
-2NCvK5807Nxs9GUb2Eo1g,14,26,4,0,26.3571428571,3.6428571429,3.5
iTjwgc3rHS5k3GptqIp2Uw,42,98,15,550,123.9,3.65,4
jqSH8cUTY0hgJlDi8S01kA,25,16,3,125,10.3,3.9,4
mhQweoH_CKOZGuVi2b9Rdg,4,14,4,0,16.25,2.75,3
pgJ-fy_EAKl5vI-uxV7ORQ,4,0,0,25,42.6666666667,2.3333333333,2
hGMY-HlQTFUCSmHPDobBUg,15,28,4,25,50.2142857143,2.8571428571,3
LwSNsn2k6v_Nb2dbhP3qsQ,18,17,3,75,30.5333333333,3.4666666667,3
1UQpjv4QuD5l_ZT7O4p6Rw,10,9,2,0,42.2,2.5,2.5
Zc2IwSzGY63zkyhfNrr7HA,56,124,11,900,126.15,2.15,2
She6nAFoCwhUcfdeYWIgzA,15,63,5,0,114.2666666667,3.8,4
zOc8lbjViUZajbY7M0aUCQ,8,7,3,0,11.875,3.625,4
77ESrCo7hQ96VpCWWdvoxg,19,16,1,75,24.3125,3.0625,3
KTqNU4plO23583DYAMGXYg,5,5,0,50,73.3333333333,3,3
cruBFtsFaBuhX_I72uU8pA,4,0,0,50,8.5,1,2
JRPrCy55SB366pvMEGy-Xg,13,11,2,75,33.8,2.9,3
q8fD82us6uuGufvI44NoAg,62,25,3,1050,82.55,3.95,4
OC8AUJshLVimn_-P_INvJw,5,5,0,0,13.8,3.2,2.5
04h3nxtkDfaKsJhrKRHZ-Q,5,6,0,0,29.4,1.8,2
ZXDlrA9Aqsda1WfQD3H6aw,3,0,0,0,24.3333333333,2.6666666667,2.5
S4TWo9X6b3gU6uucj4JN3g,21,30,2,75,85.6666666667,3.2222222222,3.5
89O2bCyo92IpEEvgFXqOMw,3,4,0,25,7.5,3,3.5
ybkWtM1ZnT2ewuquj3A9KQ,24,43,1,100,11.55,3.2,3
cpGv6ES2hzPCtCUQgipwXw,42,42,6,550,18,3.7,4
wPidHd5FxspPRgVqdEQ-Xw,51,46,5,775,34.3,2.85,2.5
9vgu6o1CwP5NakVkb29z0g,4,8,0,0,19.5,4.25,4.5
JdCFcgw4yk4M1ZRhAhBIag,15,33,1,0,12.6,2.4,2.5
rgyvl8tNVAony634_9vFdQ,5,39,3,0,36.8,3.6,3.5
v5a-Mj4eO1E--HmgwEWo7A,18,62,3,100,12.0714285714,2.9285714286,3
0oQFFOdPZycIBmGkoBrlbg,22,90,4,100,13.5555555556,3.8888888889,4
7uoxZ35biPZfl8m5w2_XRA,3,0,0,0,75.6666666667,3.3333333333,3.5
Ryq600aoE3h8_qRQGIed9A,44,40,7,600,47.3,4.15,4
jqOPL979k-t_Vc049CnAjg,7,0,0,25,6.8333333333,3.5,3.5
xMyTUliefguc3bfetGebJg,7,8,1,75,12.5,2.25,2.5
jqo3Ljexof9sA8PhSTwEjA,41,70,4,525,32.6,3.95,4
68JsiWNLKs8NDCrBCxIWMA,24,14,2,100,22.65,3.1,3
PhdMPqSdLZi6IV8SdnpUAQ,13,68,4,25,20.6666666667,3.4166666667,3.5
XIZ259hZ6Yww3C0o97MgUQ,10,15,1,50,18.5,2.875,3
S2x-rEziU3ONR9zO_vpPxA,14,101,1,50,19.1666666667,3.3333333333,3
4ldKdZC5E5LZRbxfxKvYpg,3,14,3,0,22,3.6666666667,3.5
pHBQ-dQRwN3z7Rq7iSog-A,6,4,0,50,15.75,1.5,1.5
brkJrGv2Eaj9NTl9g2RMgA,3,5,0,0,29.3333333333,3,3
h2YeVRDXjmY_jDrBqYRohA,3,0,1,0,33.3333333333,4,4
I8Bx7iuHWz6d2TQDfKfjqA,3,3,0,0,11.3333333333,4,4
ki33_SvM4kPjgA44Re8-zQ,9,21,1,0,27.7777777778,4.1111111111,4
xou2z56CFTWYoA99s4DpTg,4,10,0,0,8.5,3.5,3.5
QfCHvy6v39xPH7CvCASlFg,17,5,0,50,15,4.0666666667,4
jGU7WGOM2qUHofLKZAFAIg,10,47,0,25,15.1111111111,2.6666666667,2.5
R825-NTAI2wG2C4mN-dtNA,28,97,2,200,63.15,3.1,3
wN5WijlhJjW_3keXENR1cw,29,17,2,225,22.55,3.65,3.5
r5S_wYdu1vKRW1k-7_yOIA,15,15,0,25,32.7857142857,3.5,3.5
mv1gFZ8FYsFIOTENKhXddw,7,6,0,25,5,3.8333333333,3.5
1ZMcQNF-hHL0nJSnh5_a4w,15,11,3,25,10.0714285714,3.2857142857,3.5
yTlW8Xh1wPpvHBl3dGz9mA,24,22,2,100,24.85,2.85,3
SQASst3NU4tA-t4cmWLILA,6,19,1,25,8.4,2.8,3
Uw1DZhEtTmLzMcXmdpR8Pw,17,11,0,0,22.7058823529,3.5882352941,3.5
cT9uP_Lr5bz6jhIqZPlLcw,28,28,4,200,82.45,4.5,4
WuYyJjMOQ9-mYArlNWlaig,3,6,0,0,20.6666666667,3.6666666667,3.5
1IxGmH6sn7CnUl8BVwp5hA,3,0,0,0,34.6666666667,3.6666666667,3.5
vY3jiyABOyFOaGBujou8Vg,61,18,2,1025,64.7,3.45,3
1tK0k-vRgGFC3oSZNUJ58Q,57,50,1,925,43.1,3.35,3.5
iCOvcfVRfi-f05aeqBLpKg,31,18,1,275,44.6,3.05,3.5
j9N_fG1PVCSY-3HY1TRQ5Q,10,17,2,50,9.375,3.625,3.5
3lHBRYjfaMTZeWuQs9vvQw,14,0,0,50,50.1666666667,2.9166666667,3
K5PfWwW61Ajommy9xvXdAw,50,48,2,750,56.45,2.8,3
gwrFXlSudWuA-zxZeE5svA,35,29,4,375,22.9,3.35,3.5
H0D2HYqLd9MRCq68rtbTyQ,30,85,5,250,67.3,2.95,3
mtQHSFxx35emKstqMxp9Cw,4,0,0,25,105.3333333333,3,2.5
SoyigEmlt4JYwnOqR_cqUw,33,30,2,325,18.65,3.1,3.5
_dOcOVjrFcIKbMWX1VTdBA,34,36,6,350,53.8,3.65,3.5
TYyzrCsnGu7Dy8QbH5b4nQ,4,0,0,0,21,4.5,4.5
U8fJ4fEhoFGqxYLK_VNoEQ,40,72,2,500,38.95,3.5,3.5
WgmAx4SWy-71daxakDNd1g,16,0,2,25,34.8,2.9333333333,3
05FJCAvUFOAk8B_nIOqt7A,48,84,7,700,39.75,3.4,3
MSMdhoUraQ0DLLwmLbM28A,17,25,4,50,22.8666666667,3.4666666667,3.5
EMjKhNWBprdlb5Obcia2uA,10,0,0,25,8.1111111111,2.4444444444,2.5
0lFRJ0q1PU_R4YaLNRWnpA,40,20,4,500,82.75,3,3
oP8KsXHOUA_otHHI5JHScQ,26,12,3,150,32.85,3.4,3
L3S29vAyPOxmDZ04AilwnQ,3,0,0,0,20,1.3333333333,1
79hY0d7j45ZRjTAB2d0jQQ,3,0,0,0,13.3333333333,1.3333333333,1.5
dXLRevtIEnAvjUhPM_zTEg,15,11,1,75,44.5833333333,2.0833333333,2
pPWre8lbVAssER6CN0uWMw,65,189,9,1125,160.55,4,4
6U94ybDpNd0fTL7TIzb5Kg,65,89,6,1125,54,4,4
AB5RgQ0ZnMThdqgFS3cPuw,175,189,12,3875,287.9,3.8,3.5
h9xdY1NO4GnNijNChTy-8A,101,98,9,2025,43.85,3.75,4
-1oj6-fkP-iO6OyW8QBqPg,29,39,0,225,16.65,3.2,3.5
